Account ID,Backlog Rev,Bio Reactors used,BM Test,Campaign ID,Cell Culture Media,Cell Type,Close Date,Closed,Closed Lost Reason,COVID Notes,COVID Status,Created By ID,Created by Lead Conversion,Created Date,Deleted,DOR Distributor,Final Quote,Fiscal Period,Fiscal Quarter,Fiscal Year,Forecast Category,Forecast Q Commit,Forecast Q Prior Commit,Funding Source,Has Line Item,Has Open Activity,Has Overdue Task,Industry,Install This Quarter,Interface Type,Internal Forecast,Last Modified By ID,Last Modified Date,Last Stage Change Date,LDO,LDO Priority Level,Lead Application,Lead Source,Mass Spec Manufacturer,Mass Spec Type,Media Provider,Opportunity ID,Opportunity Type,Order Finalized,Other Closed Lost Details,Other Mass Spec Type,Other Research Area,Owner ID,Price Book ID,Primary Application,Primary Application (FF),Primary Contact,Product Category,Product of Interest,Purchase Agent,Record Type ID,Registered Vendor (confirmed),Secondary Application (FF),Ship This Quarter,Ship This Quarter List,Signing Authority,Stage,Standard Application,System Modstamp,Technical Owner,Validated Customer Needs,Won,# Close Date Extensions,# Close Date Month Extensions,Amount,Expected_Amount,Probability (%),Push Count
0015A000028lfCiQAI,FALSE,Other,FALSE,Other,Other,other,9/30/2020,TRUE,Lost or No Budget,No Lab Access. Aron says COVID 19 could also slow down the purchase process as he does not think that anything is moving at the moment.,Impacted,0055A000008iLoOQAU,FALSE,5/28/2019,FALSE,Other,FALSE,03-01-2020,3,2020,Omitted,FALSE,FALSE,Other,FALSE,FALSE,FALSE,Biopharma/Pharmaceuticals,FALSE,Auto-Classic,FALSE,0055A00000BclF5QAJ,04-10-2021,6/15/2020,FALSE,Other,Other,Trade Show,Thermo,Other (text field),Other,0065A00001SjAOvQAN,Other,FALSE,Other,Other,Other,0055A00000Bb2djQAB,01s5A000005x0sjQAA,Biotherapeutics,Other,0035A00003UaeGCQAZ,System,ZipChip,Other,0125A000001ESVfQAO,FALSE,Other,FALSE,Other,Other,Closed Lost,TRUE,6/29/2021,0055A00000BctMnQAJ,FALSE,FALSE,0,0,85000,0,0,0
0013100001puTb4AAE,FALSE,Other,FALSE,7015A000001qXCFQA2,Other,other,3/31/2021,TRUE,Other,Other,Unknown,0055A000009GjocQAC,TRUE,11/22/2019,FALSE,Other,FALSE,01-01-2021,1,2021,Omitted,FALSE,FALSE,Other,FALSE,FALSE,FALSE,Biopharma/Pharmaceuticals,FALSE,Auto-Classic,FALSE,0055A00000BclF5QAJ,04-11-2021,9/15/2020,FALSE,Other,Other,Trade Show,Thermo,"QE Plus, HF, HF-X�� (NO biopha",Other,0065A00001Y3lo0QAB,Other,FALSE,Other,Other,Other,0055A00000Bb2djQAB,01s5A000005z9ixQAA,Biotherapeutics,Other,0035A00003VyMPRQA3,System,ZipChip,Other,0125A000001ESVfQAO,FALSE,Other,FALSE,Other,Other,Closed Lost,TRUE,6/29/2021,0055A00000BctMnQAJ,FALSE,FALSE,0,0,85000,0,0,0
0015A00002DSTI6QAP,FALSE,Other,FALSE,7015A000001zMbOQAU,Other,other,6/22/2021,TRUE,Other,Other,Other,0055A00000Bb2djQAB,TRUE,10-01-2020,FALSE,Other,FALSE,02-01-2021,2,2021,Omitted,FALSE,FALSE,Other,FALSE,FALSE,FALSE,Biopharma/Pharmaceuticals,FALSE,Auto-Ti,FALSE,0055A000008zqzaQAA,6/22/2021,6/22/2021,FALSE,Other,Other,Website,Other,Other,Other,0065A00001bpGx3QAE,Other,FALSE,Other,Other,Other,0055A000008zqzaQAA,Other,Biotherapeutics,Other,0035A00003jvcS1QAI,System,ZipChip,Other,0125A000001ESVfQAO,FALSE,Other,FALSE,Other,Other,Closed Lost,TRUE,6/29/2021,0055A000008iLmcQAE,FALSE,FALSE,0,0,95000,0,0,0
0013100001jb0YLAAY,FALSE,Other,FALSE,7015A000001qXCFQA2,Other,other,9/30/2020,TRUE,Demo data not compelling,Other,Other,0055A000008iLoOQAU,TRUE,6/13/2019,FALSE,Other,FALSE,03-01-2020,3,2020,Omitted,FALSE,FALSE,Other,FALSE,FALSE,FALSE,Biopharma/Pharmaceuticals,FALSE,Auto-Ti,FALSE,0055A00000BclF5QAJ,04-10-2021,4/14/2020,FALSE,Other,Other,Website,Thermo,Other,Other,0065A00001TiG7dQAF,Other,FALSE,Other,Other,Other,0055A000009GjocQAC,Other,Biotherapeutics;Proteomics,Other,0035A00003Vy0UUQAZ,System,ZipChip,Other,0125A000001ESVfQAO,FALSE,Other,FALSE,Other,Other,Closed Lost,TRUE,6/29/2021,Other,FALSE,FALSE,0,0,0,0,0,0
0015A00002FrExDQAV,FALSE,Other,FALSE,Other,Other,other,6/30/2020,TRUE,Contact has moved,Demo pending upon return to lab,Impacted,0055A000008iLoJQAU,FALSE,10/31/2019,FALSE,Other,FALSE,02-01-2020,2,2020,Omitted,FALSE,FALSE,Other,TRUE,FALSE,FALSE,Biopharma/Pharmaceuticals,FALSE,Auto-Classic,FALSE,0055A00000BclF5QAJ,04-10-2021,5/29/2020,FALSE,Other,Other,Industry Event,Thermo,"QE EMR UHMR (Plus, HF, HF-X with BioPharma)",Other,0065A00001Xpf55QAB,Other,FALSE,Other,Other,Other,0055A000008zqzaQAA,01s5A000005z9ixQAA,Biotherapeutics,Other,0035A00003ZgJQqQAN,System,ZipChip,Other,0125A000001ESVfQAO,FALSE,Other,FALSE,Other,Other,Closed Lost,TRUE,6/29/2021,0055A00000BctN2QAJ,FALSE,FALSE,0,0,90775,0,0,0
0015A00001xPWrZQAW,FALSE,Other,FALSE,7015A000001ZjrIQAS,Other,other,9/30/2019,TRUE,Other,Other,Other,0055A000008zqzaQAA,FALSE,6/29/2018,FALSE,Other,FALSE,03-01-2019,3,2019,Omitted,FALSE,FALSE,Other,TRUE,FALSE,FALSE,Biopharma/Pharmaceuticals,FALSE,Other,FALSE,0055A00000BclF5QAJ,04-11-2021,04-08-2019,FALSE,Other,Other,Website,Other,Other,Other,0065A00000k3TRwQAM,Other,FALSE,Duplicate of Christine Gu's opportunity.  Site closing so no go.,Other,Other,0055A000008iLoJQAU,01s31000003qafeAAA,Biotherapeutics,Other,0035A00003FWGEOQA5,System,ZipChip,Other,0125A000001ESVfQAO,FALSE,Other,FALSE,Other,Other,Closed Lost,TRUE,6/29/2021,Other,FALSE,FALSE,0,0,72870,0,0,0
0015A00001xPWrZQAW,FALSE,Other,FALSE,7015A000001ZipvQAC,Other,other,02-01-2018,TRUE,Incompatible Mass Spec,Other,Other,00531000008FRNUAA4,TRUE,11/30/2017,FALSE,Other,FALSE,01-01-2018,1,2018,Omitted,FALSE,FALSE,Other,TRUE,FALSE,FALSE,Biopharma/Pharmaceuticals,FALSE,Auto-Bi,FALSE,0055A00000BclF5QAJ,04-11-2021,3/15/2018,FALSE,Other,Biotherapeutics,Website,Bruker,Other,Other,0065A00000iTsZBQA0,Other,FALSE,Other,Other,Other,0055A000008iLoJQAU,01s31000003qafeAAA,Biotherapeutics,Other,0035A00003FWGEOQA5,System,ZipChip,Other,0125A000001ESVfQAO,FALSE,Other,FALSE,Other,Other,Closed Lost,TRUE,6/29/2021,Other,FALSE,FALSE,0,0,72600,0,0,0
0013100001p5BKSAA2,FALSE,Other,FALSE,7015A000001ZjhTQAS,Other,other,2/14/2020,TRUE,Duplicate opportunity,Other,Other,00531000008FRNUAA4,TRUE,06-05-2018,FALSE,Other,FALSE,01-01-2020,1,2020,Omitted,FALSE,FALSE,Other,TRUE,FALSE,FALSE,Biopharma/Pharmaceuticals,FALSE,Auto-Ti,FALSE,0055A00000BclF5QAJ,04-10-2021,2/14/2020,FALSE,Other,Biotherapeutics,Eblasts,Thermo,Other,Other,0065A00000k2ZixQAE,Other,FALSE,Other,Other,Other,00531000007KAu8AAG,01s5A000004PlSkQAK,Biotherapeutics,Other,0035A00003IOcruQAD,System,ZipChip,Other,0125A000001ESVfQAO,FALSE,Other,FALSE,Other,Other,Closed Lost,TRUE,6/29/2021,0055A00000Bd4jEQAR,FALSE,FALSE,0,0,98817,0,0,0
0015A00002CwXarQAF,FALSE,Other,FALSE,Other,Other,other,6/24/2021,TRUE,Other,No Lab Access,Impacted,0055A000008iLoOQAU,TRUE,6/13/2019,FALSE,Other,FALSE,02-01-2021,2,2021,Omitted,FALSE,FALSE,Other,TRUE,FALSE,FALSE,Academia,FALSE,Auto-Bi,FALSE,0055A00000Bnt5hQAB,6/25/2021,6/25/2021,FALSE,Other,Proteomics,Website,Bruker,Other,Other,0065A00001TiGDlQAN,Other,FALSE,Other,Orbitrap,Glycobiology,0055A00000Bnt5hQAB,01s5A000005z9ixQAA,Proteomics,Other,0035A00003Vy0g1QAB,System,ZipChip,Other,0125A000001ESVfQAO,FALSE,Other,FALSE,Other,Other,Closed Lost,TRUE,6/29/2021,0055A000008iLmcQAE,FALSE,FALSE,0,0,91445,0,0,0
0015A00002DPYz7QAH,FALSE,Other,FALSE,Other,Other,other,9/30/2019,TRUE,Demo data not compelling,Other,Other,0055A000008iLoJQAU,TRUE,8/21/2019,FALSE,Other,FALSE,03-01-2019,3,2019,Omitted,FALSE,FALSE,Other,TRUE,FALSE,FALSE,Biopharma/Pharmaceuticals,FALSE,Auto-Classic,FALSE,0055A00000BclF5QAJ,04-10-2021,9/25/2019,FALSE,Other,Biotherapeutics,Website,Thermo,"QE EMR UHMR (Plus, HF, HF-X with BioPharma)",Other,0065A00001MA1HPQA1,Other,FALSE,Other,Q Exactive Hybrid Quadrupole-Orbitrap Mass Spectrometer is highly desirable. Knowledge of other mass spectrometry platforms,Other,0055A000008iLoJQAU,01s5A000005z9ixQAA,Biotherapeutics,Other,0035A00003XBHrfQAH,System,ZipChip,Other,0125A000001ESVfQAO,FALSE,Other,FALSE,Other,Other,Closed Lost,TRUE,6/29/2021,Other,FALSE,FALSE,0,0,83150,0,0,0
